"geneID","HS1","HS2","HS3","HS4","HS5","HS6","HS7","CL1","CL2","CL3","CL4","CL5","CL6","CL7","CL8","CL9","CL10","CL11","CL12","CL13","CL14","CL15","CL16","CL17","CL18","CL19","CL20","CL21"
"TNNT2",2.89956771495297,2.24664315314543,2.65625820433664,2.48260393664142,2.24947308577976,1.89987283937523,1.93649954898956,0.846237819809975,1.20300554223596,0.228897002192618,-0.561417428846107,0.0226857825501273,1.10233596050003,0.0163182745428896,-0.375457478389441,0.0022316828102394,-0.598358826125803,-0.292016895183668,-0.484532123830098,-0.16787213190202,-0.201526959656134,0.572871756581798,0.154561183585743,0.593694912167753,1.48256422979878,0.925491112356664,-0.475018403527299,-0.373380800733077
"NRP2",4.07442568653303,4.68567159899078,5.39880556273063,4.76288938552624,5.01028542190033,5.03241417727193,4.75188806047889,7.29612746928034,6.87948706331724,6.56140876422591,6.97245734841244,7.15707407155828,7.02669410897285,6.37089682816285,6.97457442822654,6.84525677286298,7.05647982336749,6.58978849808956,6.95852494769599,7.14377042581884,7.08797287181849,7.74116097785396,7.30997265676237,6.43122909161828,6.71122035394812,7.01682873332539,6.492238519957,7.17821616485629
"C1ORF54",1.562439097858,2.11919166499906,1.21893188105402,1.83912497135333,1.19502530175738,2.0508376491908,1.59921720722516,2.8797216650326,3.41744921045691,3.5904602840456,5.07665640833461,3.96476580662095,3.14822886414892,4.09493698056578,4.65227395286583,4.23893558017212,4.5463955995816,4.54813589252589,4.75766316410238,4.54526352178467,4.28671222250278,3.6909005697227,4.1186729628377,3.83132477274846,3.49571190966888,3.7567059229115,3.4277736238676,3.92172350607858
"IRAG2",2.11559286034848,3.07098879163574,2.28172225394315,2.86250789879128,2.13844177339102,2.45099783574929,2.29279020587799,5.4087754246031,4.67449317844833,4.81906532107335,4.91496425872113,4.48551369173733,3.99417575964364,3.88267394624859,4.81748417577784,4.59198046724551,4.85425152665548,5.11388224003794,5.42202905174254,4.63852238068426,4.97712964777908,4.32440181007873,4.58336894759138,4.3575084075321,4.22824092067707,5.04237104747669,3.94049863540724,4.14090760155112
"ELOVL4",6.89723100580315,6.79988376160486,6.14840617096199,6.5757369204532,6.45748158895355,5.88793083014735,6.58373529662622,3.18401986589817,2.24313365494127,6.31761869746998,2.43135100192282,2.78979123678833,5.49283958489946,6.5667152732737,5.95725045525116,5.34066047271807,1.22061517919863,3.99692816541208,3.50679557415545,4.91985423935926,3.16091041540609,3.43438698731144,4.64486573030937,5.7716127043636,3.71046146869401,4.11030858194561,6.48781608619154,5.7209886317739
"TNFAIP3",4.56412350556935,5.23457032084486,4.36701486707394,4.66521645599252,4.59261766657682,4.74045078824135,4.34594577033126,8.5380295285684,8.75873519088058,8.31667465994341,7.82694433955723,8.32805512289453,7.77889782485381,6.31487186105644,6.59445156786057,7.18969002350123,7.37448552740897,7.77001075509773,7.42375766837924,7.48023418975912,8.17509439007513,8.86681950351621,7.43836803012917,6.26673175994088,8.44352877981291,8.89949271427509,7.84662189103842,4.63843494951412
"CASQ2",1.13687641871644,2.39794232120892,2.05892015063863,3.29941355172707,2.13844177339102,1.75438997919923,3.27988422168105,-2.95316834913214,-3.59696984945605,-5.22396196252119,-5.20527361862083,-1.84467644887175,-3.21579056422747,1.38615635439164,-1.73585972109144,-0.0155795933062214,1.28105103306061,-2.78140173592259,-3.21492506407282,-0.465366008479187,-1.94807860265154,-2.19871203445398,-0.796529215933311,1.52583782492262,-2.46554902853625,-3.1732428412287,-3.22225233314733,0.0901865924734259
"SPP1",-0.574165830384288,6.63426123938837,1.3085072350312,2.35652418826185,3.04917443529393,2.64923989994119,2.28542950092673,7.54522061865444,4.14160499757181,3.56589767839246,5.38062783106994,7.77008312877125,6.82045536205455,4.20383102746789,8.04110673734892,5.08160194041167,8.20990721423307,5.4388835656875,6.4463671959977,8.66299241199277,7.63416794106859,5.60107838447786,8.89400428135819,2.18901792449463,6.8031709425857,7.06555993783981,7.51571925439405,4.60027880708814
"RARRES1",1.71578987476479,2.16459490632336,1.44644933456834,0.414627142825416,0.954017202253588,2.59043196054088,3.02091843678502,4.32581712805824,2.68578764815064,4.1489030975914,5.2531329946157,4.37161060981551,4.84547402928884,4.66316916189709,5.22805174412865,4.92759043421358,4.79977983538168,5.76400831696004,5.06500202472328,4.11361878312203,4.72654525183559,4.37114357387696,4.75067380882362,4.60195695788948,3.79797533995835,4.12992904640302,3.63750428687009,4.30765412665932
"PPL",9.03819777791285,8.94935925140168,8.45475022987894,8.75798820862792,9.36302233947446,8.59320936727837,8.92392559790631,5.79321677350708,5.26145525681583,8.46102767126485,3.09393439976645,6.43884994728325,7.62420050631241,8.15380849120075,7.22641103041258,6.83783651948803,4.81135231754643,4.14842567096308,4.7001394629814,6.68275151690561,5.94120563998734,6.98055729524064,6.45000555130094,7.10610973969832,6.31138457965447,7.54186116800747,8.45111984553262,7.45584120141307
"PCDH17",0.901345527920871,1.74042376764556,1.38371357922038,2.18906744241029,0.301940505673895,0.788426303198645,2.27803104860557,3.07261009205897,4.05202964359464,3.25420093021644,4.64491321902494,3.84598224847675,4.18598718780035,2.66541111268376,3.05327734302494,3.5521049159831,4.09473357509022,2.78728522508573,3.46647308806289,4.21416781168091,4.30279877753796,4.66104458556344,3.74696666749246,2.69349050735542,4.36458722445477,4.252462620952,3.97461321111326,3.99560804840215
"SLC46A2",4.65333472841561,4.244882695281,3.92134492058182,3.86018658688116,4.59261766657682,3.97486774193894,3.99520525250102,-1.22734331257113,0.693707311446874,0.697283926064396,1.13457638426379,0.0226857825501273,0.760283596527047,3.1048828302728,3.46513826478361,1.64502537465486,1.25114954734675,0.204659073119533,0.709347609763937,1.28584583554088,0.724975227694475,0.0383271628468652,0.94619564752158,2.0651284672585,-0.760292294097383,0.640965751869971,2.7937599848413,3.09705331196169
"NR4A3",0.512134016009932,0.513582013435144,0.600205399117141,0.991128064798376,0.954017202253588,1.46743229383494,0.494583666034568,5.31829467877224,4.73714378387943,4.48581114533175,4.67584034205426,4.87697701852864,4.65619570778121,4.03146176080343,2.22711442192509,3.66542959488597,2.92874928912973,2.57615026869549,2.74138508557998,3.42379539269703,4.32783894979549,5.49078682087645,3.26120985517877,2.17344912188615,4.9913856515902,4.48544469994711,3.91144035113564,0.216634927714365
"CSF3R",1.3908277197878,2.13954748828167,2.24689688959,2.69547929470986,1.40147617922481,2.74479117438932,1.005321581734,5.80351626426757,7.19570426243779,5.86257237547582,5.86551819080223,6.31123575069891,5.69694122954632,3.7705116727522,4.78897314537596,5.46588141734605,6.36916652984838,5.81076776870061,6.1432266059675,5.82130637484447,6.85087914524889,6.2969146094913,5.78059744537374,5.22816259782784,6.24135984761144,8.07139848479864,5.22364932457622,3.25028895143719
"FLVCR2",2.74578461506263,3.26875831452679,2.2718576340336,2.62065611795298,1.88690300639505,3.4545352998205,2.54784881613476,4.74139044722844,5.39293144599613,5.06628732847244,5.27147258531864,4.76644806815507,5.35546310128857,4.86392478871529,5.51129801285453,5.13757115101136,5.25539207788914,5.79282788801017,6.01280026142879,5.37830336501078,5.28564758143839,5.41830931630235,5.47424887506056,5.31113051092994,4.56211661900502,5.46410656960444,5.19016629568794,3.45229772639828
"GPR68",2.10328835044536,2.67742884441458,1.90148918408848,2.28909626074156,3.04917443529393,3.82623639095733,2.30739990076234,5.36285203770598,5.32231914997034,5.1864893889828,5.22413312289315,5.65215034434846,5.39950026991138,5.10212696498229,5.80853042159125,5.1904791941898,5.16507279287443,6.0237220222969,5.77968551475997,5.2031671682515,5.27753053136845,6.12540420518037,5.71168813011104,5.39014674840177,5.6110342317654,5.33850981253868,6.1425076773282,4.84017113310949
"LGALSL",7.89371883034999,8.46887847805434,7.55128305572519,7.53575163638322,7.06633822711984,7.15279914367361,7.58101349533192,4.93651110683394,3.47678918916144,7.16486257550241,3.25005360168373,5.19764844253516,6.231618977445,7.26879940375348,5.9707529641789,5.75235808179792,3.26804532323585,3.66409069175683,3.61911496612802,5.52062797292755,4.65777126454344,5.29061986885185,5.01870462537211,6.11742638764696,5.3285842611719,5.41746894994627,7.64668043094294,6.3353582406265
"EPCAM",4.34518731409097,3.56245912041862,3.35480088730514,3.39872075191606,3.47186550711621,3.14579597668968,3.19207409175319,-0.177874636306833,-2.15639725807007,0.17520913129863,0.00417974700811849,1.19853561794955,0.0361278094121473,2.57289897389422,1.24944376770186,-0.937105535283137,-0.0974605901931215,0.118071388123443,-0.651988869681661,-0.0475778981843084,1.31829151574551,0.886324069401815,1.03534802525836,1.70977187810636,-0.614071553246339,-1.01404424637944,1.28327570007942,0.981576094541756
"IFIT3",3.66122551403508,4.41839154840025,3.91502076780994,4.32151773843393,4.75197342630894,4.3702708103982,4.11007496455593,8.05649879963453,7.48831290623503,9.25739601763908,7.85930075452831,7.97027402111324,8.8629396214863,7.55819431055545,7.14603964971973,7.37412188126553,7.18609083298119,8.58874074357281,8.32656759988045,7.72351535351523,8.28263571872849,8.23141191570375,8.40840051980241,8.9697909619749,8.49385449050813,9.12907240128294,8.48171301933774,5.2744184243
"IFIT2",3.47321957149072,3.77742851894751,3.67040701052387,4.1033375683844,4.09449842580342,3.44033310105107,3.62131097807578,6.62091568773345,7.2966567225326,7.55168946696814,6.28908198491201,7.28188851183122,7.63386144670564,5.8681484231995,5.24975147700043,5.83232396815854,6.65974049237507,6.95552050738074,6.87915262159909,6.40066232703176,7.79619463836111,7.92537234154548,6.92201507607524,6.90377951980564,7.3537276204324,8.39980467646947,6.24913257134517,4.23729439828046
"GPAM",7.67655439497457,9.24563482032491,9.22762964684002,9.1676972423767,7.8040619374574,6.7100668627504,7.59242935428671,3.48722170349977,3.15982471847208,2.91046435769973,3.74017021775708,3.96893143523463,3.39814426238809,4.49352459490816,3.76979092251578,3.67378902942381,4.59332895791425,4.01301413042751,4.04930426169987,3.70272233448351,3.75667042754196,3.12835936370934,3.79083577500315,4.53956577558939,3.36954021629962,3.26305227861067,3.39875291749935,4.61852885456368
"CNNM1",1.4600112849338,1.32649646083465,1.29882468163386,1.12089593976871,1.58204842486663,1.46743229383494,1.15822048088364,-1.29605606265515,-0.789614927398445,-0.916533437328946,-2.03534861717852,-1.22123980033596,-0.0628386413888736,-0.965066047289764,-1.65991086785814,-0.476131751837434,-2.41938868508048,-1.52764514367681,-0.892996969185455,-0.279620489554475,-1.65857198545655,-0.988145048514326,-0.75856136573429,-0.708867857852678,-1.15622097042852,-0.890308877957197,-0.301686800641737,-2.69530889562044
"KCNIP2",1.5443486408751,4.04761668759538,4.85640764153082,4.91824368847093,1.88690300639505,1.28872640685042,1.1090329312561,-0.278568635926306,0.693707311446874,-1.10294656155983,-2.03534861717852,-0.233950852085516,-1.19693153697616,-0.141943809373843,-0.203846100319242,0.318839445764338,0.873393064147362,-0.753920999500486,-0.565832225931946,-0.299116665180273,-0.725686181315091,-1.13817049251893,-0.205168944014004,0.63974227968719,0.108921098367263,-1.01404424637944,-1.78167974176135,-1.11034639489928
"MLANA",6.12265882410767,5.81370573800416,4.86463518045841,5.48637175032882,5.86527299042351,4.94960388478395,5.70748350975,1.80171915303133,2.23592016470869,3.17777088700143,0.080128600241417,1.88544939981399,3.82917867773811,5.08324615994196,3.88044074616272,2.99890877529696,0.813272071709791,2.5377492742942,1.73078478042623,2.67238778763513,1.25703582725307,1.65784688560439,2.70766741525677,3.06934071854541,2.67088490783671,1.9886448411482,3.60520379496678,4.53603862118618
